: X/Open regex tests 2010-11-22

# basic sanity

BEA	abracadabra$	abracadabracadabra	(7,18)
BE	\<abc\>		xabc:abc		(5,8)
A	<abc>		xabc:abc		(5,8)
BE	\<abc\>		:xabc:abc		(6,9)
A	<abc>		:xabc:abc		(6,9)
}

# funny characters

BEA$	.*			\x01\xff	(0,2)

# algorithm glitches

E	aaaa|bbbb|cccc|ddddd|eeeeee|fffffff|gggg|hhhh|iiiii|jjjjj|kkkkk|llll		XaaaXbbbXcccXdddXeeeXfffXgggXhhhXiiiXjjjXkkkXlllXcbaXaaaa	(53,57)
Lf$	aaaa\nbbbb\ncccc\nddddd\neeeeee\nfffffff\ngggg\nhhhh\niiiii\njjjjj\nkkkkk\nllll		XaaaXbbbXcccXdddXeeeXfffXgggXhhhXiiiXjjjXkkkXlllXcbaXaaaa	(53,57)
L	aaaa\nbbbb\ncccc\nddddd\neeeeee\nfffffff\ngggg\nhhhh\niiiii\njjjjj\nkkkkk\nllll		XaaaXbbbXcccXdddXeeeXfffXgggXhhhXiiiXjjjXkkkXlllXcbaXaaaa	NOMATCH

# strgrpmatch stress

E	a*a*a*a*a*b		aaaaaaaaac	NOMATCH
E	a*a*a*a*a*b		aaaaaaaaab	(0,10)

# regexec() REG_LEFT

BEA	^b			aaabbb		NOMATCH
BEAy	b			aaabbb		NOMATCH
BEA	b			aaabbb		(3,4)
EA	^(b)			aaabbb		NOMATCH
EA	(^b)			aaabbb		NOMATCH
EAy	(b)			aaabbb		NOMATCH
EA	(b)			aaabbb		(3,4)(3,4)

# Tom Lord's rx tests

B	\(.*\)*\1		xx		(0,2)(2,2)
BE	^			NULL		(0,0)
BE	$			NULL		(0,0)
BE	^$			NULL		(0,0)
BE	^a$			a		(0,1)
BE	abc			abc		(0,3)
BE	abc			xbc		NOMATCH
BE	abc			axc		NOMATCH
BE	abc			abx		NOMATCH
BE	abc			xabcy		(1,4)
BE	abc			ababc		(2,5)
BE	ab*c			abc		(0,3)
BE	ab*bc			abc		(0,3)
BE	ab*bc			abbc		(0,4)
BE	ab*bc			abbbbc		(0,6)
E	ab+bc			abbc		(0,4)
E	ab+bc			abc		NOMATCH
E	ab+bc			abq		NOMATCH
E	ab+bc			abbbbc		(0,6)
E	ab?bc			abbc		(0,4)
E	ab?bc			abc		(0,3)
E	ab?bc			abbbbc		NOMATCH
E	ab?c			abc		(0,3)
BE	^abc$			abc		(0,3)
BE	^abc$			abcc		NOMATCH
BE	^abc			abcc		(0,3)
BE	^abc$			aabc		NOMATCH
BE	abc$			aabc		(1,4)
BE	^			abc		(0,0)
BE	$			abc		(3,3)
BE	a.c			abc		(0,3)
BE	a.c			axc		(0,3)
BE	a.*c			axyzc		(0,5)
BE	a.*c			axyzd		NOMATCH
BE	a[bc]d			abc		NOMATCH
BE	a[bc]d			abd		(0,3)
BE	a[b-d]e			abd		NOMATCH
BE	a[b-d]e			ace		(0,3)
BE	a[b-d]			aac		(1,3)
BE	a[-b]			a-		(0,2)
BE	a[b-]			a-		(0,2)
BE	a[b-a]			NULL		ERANGE
BE	a[]b			NULL		EBRACK
BE	a[			NULL		EBRACK
BE	a]			a]		(0,2)
BE	a[]]b			a]b		(0,3)
BE	a[^bc]d			aed		(0,3)
BE	a[^bc]d			abd		NOMATCH
BE	a[^-b]c			adc		(0,3)
BE	a[^-b]c			a-c		NOMATCH
BE	a[^]b]c			a]c		NOMATCH
BE	a[^]b]c			adc		(0,3)
E	ab|cd			abc		(0,2)
E	ab|cd			abcd		(0,2)
B	*a			*a		(0,2)
E	*a			NULL		BADRPT
B	^*			-		NOMATCH
Eu	^*			-		(0,0)
E	$*			-		(0,0)
B	\(*\)b			*b		(0,2)(0,1)
E	(*)b			NULL		BADRPT
BE	$b			b		NOMATCH
BE	a\			NULL		EESCAPE
E	a\(b			a(b		(0,3)
E	a\(*b			ab		(0,2)
E	a\(*b			a((b		(0,4)
BE	a\y			a\y		BADESC
BE	abc)			NULL		NOMATCH
E	(abc			NULL		EPAREN
E	((a))			abc		(0,1)(0,1)(0,1)
E	(a)b(c)			abc		(0,3)(0,1)(2,3)
E	a+b+c			aabbabc		(4,7)
{E	a*?			aaa		(0,0)	min/max repetition not supported
Em	a*			aaa		(0,0)
BE	a**			aaa		(0,3)
BEm	a**			aaa		(0,0)
}
E	a*			aaa		(0,3)
E	(a*)*			-		(0,0)(0,0)
E	(a*)+			-		(0,0)(0,0)
E	(a*|b)*			-		(0,0)(0,0)
E	(a+|b)*			ab		(0,2)(1,2)
E	(a+|b)+			ab		(0,2)(1,2)
E	(a+|b)?			ab		(0,1)(0,1)
BE	[^ab]*			cde		(0,3)
E	(^)*			-		(0,0)(0,0)
B	\)			)		EPAREN
B	\)\(			NULL		EPAREN
E	)			)		(0,1)
B	)(			)(		(0,2)
BE	abc			NULL		NOMATCH
BE	a*			NULL		(0,0)
E	([abc])*d		abbbcd		(0,6)(4,5)
E	([abc])*bcd		abcd		(0,4)(0,1)
E	a|b|c|d|e		e		(0,1)
E	(a|b|c|d|e)f		ef		(0,2)(0,1)
E	((a*|b))*		-		(0,0)(0,0)(0,0)
BE	abcd*efg		abcdefg		(0,7)
BE	ab*			xabyabbbz	(1,3)
BE	ab*			xayabbbz	(1,2)
E	(ab|cd)e		abcde		(2,5)(2,4)
BE	[abhgefdc]ij		hij		(0,3)
E	^(ab|cd)e		abcde		NOMATCH
E	(a|b)c*d		abcd		(1,4)(1,2)
E	(ab|ab*)bc		abc		(0,3)(0,1)
E	a([bc]*)c*		abc		(0,3)(1,3)
E	a([bc]*)(c*d)		abcd		(0,4)(1,3)(3,4)
E	a([bc]+)(c*d)		abcd		(0,4)(1,3)(3,4)
E	a([bc]*)(c+d)		abcd		(0,4)(1,2)(2,4)
E	a[bcd]*dcdcde		adcdcde		(0,7)
BE	a[bcd]+dcdcde		adcdcde		NOMATCH
E	(ab|a)b*c		abc		(0,3)(0,2)
E	((a)(b)c)(d)		abcd		(0,4)(0,3)(0,1)(1,2)(3,4)

BE	[A-Za-z_][A-Za-z0-9_]*	alpha		(0,5)
E	^a(bc+|b[eh])g|.h$	abh		(1,3)
E	(bc+d$|ef*g.|h?i(j|k))	effgz		(0,5)(0,5)
E	(bc+d$|ef*g.|h?i(j|k))	ij		(0,2)(0,2)(1,2)
E	(bc+d$|ef*g.|h?i(j|k))	effg		NOMATCH
E	(bc+d$|ef*g.|h?i(j|k))	bcdd		NOMATCH
E	(bc+d$|ef*g.|h?i(j|k))	reffgz		(1,6)(1,6)
E	((((((((((a))))))))))	-		NOMATCH
E	(((((((((a)))))))))	a		(0,1)(0,1)(0,1)(0,1)(0,1)(0,1)(0,1)(0,1)(0,1)(0,1)
BE	multiple words of text	uh-uh		NOMATCH
BE	multiple words		multiple words yeah	(0,14)
E	(.*)c(.*)		abcde		(0,5)(0,2)(3,5)
E	\((.*),			(.*)\)		NOMATCH
BE	[k]			ab		NOMATCH
BE	abcd			abcd		(0,4)
E	a(bc)d			abcd		(0,4)(1,3)
E	a[-]?c		ac		(0,3)
B	\(....\).*\1		beriberi	(0,8)(0,4)

E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar Qaddafi	(0,15)(?,?)(10,12)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Mo'ammar Gadhafi	(0,16)(?,?)(11,13)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar Kaddafi	(0,15)(?,?)(10,12)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar Qadhafi	(0,15)(?,?)(10,12)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Moammar El Kadhafi	(0,18)(?,?)(13,15)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar Gadafi	(0,14)(?,?)(10,11)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Mu'ammar al-Qadafi	(0,18)(?,?)(14,15)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Moamer El Kazzafi	(0,17)(?,?)(12,14)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Moamar al-Gaddafi	(0,17)(?,?)(12,14)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Mu'ammar Al Qathafi	(0,19)(?,?)(14,16)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar Al Qathafi	(0,18)(?,?)(13,15)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Mo'ammar el-Gadhafi	(0,19)(?,?)(14,16)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Moamar El Kadhafi	(0,17)(?,?)(12,14)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar al-Qadhafi	(0,18)(?,?)(13,15)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Mu'ammar al-Qadhdhafi	(0,21)(?,?)(16,18)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Mu'ammar Qadafi	(0,15)(?,?)(11,12)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Moamar Gaddafi	(0,14)(?,?)(9,11)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Mu'ammar Qadhdhafi	(0,18)(?,?)(13,15)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar Khaddafi	(0,16)(?,?)(11,13)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar al-Khaddafi	(0,19)(?,?)(14,16)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Mu'amar al-Kadafi	(0,17)(?,?)(13,14)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar Ghaddafy	(0,16)(?,?)(11,13)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar Ghadafi	(0,15)(?,?)(11,12)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar Ghaddafi	(0,16)(?,?)(11,13)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muamar Kaddafi	(0,14)(?,?)(9,11)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar Quathafi	(0,16)(?,?)(11,13)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muammar Gheddafi	(0,16)(?,?)(11,13)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Muamar Al-Kaddafi	(0,17)(?,?)(12,14)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Moammar Khadafy	(0,15)(?,?)(11,12)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Moammar Qudhafi	(0,15)(?,?)(10,12)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Mu'ammar al-Qaddafi	(0,19)(?,?)(14,16)
E	M[ou]'?am+[ae]r .*([AEae]l[- ])?[GKQ]h?[aeu]+([dtz][dhz]?)+af[iy]	Mulazim Awwal Mu'ammar Muhammad Abu Minyar al-Qadhafi	(14,53)(?,?)(48,50)

# Andrew Hume's gre re tests

E	a+(b|c)*d+		aabcdd			(0,6)(3,4)
E	^(a|b)*(abc+|c)		abccccc			(0,7)(?,?)(0,7)
E	(bc|bc+)		bccc			(0,4)(0,4)
A	((b|a)+)\1		abab			(0,4)(0,2)(1,2)
E	^.+$			vivi			(0,4)
E	^(.+)$			vivi			(0,4)(0,4)
A	((.)+)\1		acbb			(2,4)(2,3)(2,3)
E	^([^!.]+).att.com!(.+)$	gryphon.att.com!eby	(0,19)(0,7)(16,19)
E	^([^!]+!)?([^!]+)$	bas			(0,3)(?,?)(0,3)
E	^([^!]+!)?([^!]+)$	bar!bas			(0,7)(0,4)(4,7)
E	^([^!]+!)?([^!]+)$	foo!bar!bas		NOMATCH
E	^([^!]+!)?([^!]+)$	foo!bas			(0,7)(0,4)(4,7)
E	^.+!([^!]+!)([^!]+)$	bas			NOMATCH
E	^.+!([^!]+!)([^!]+)$	bar!bas			NOMATCH
E	^.+!([^!]+!)([^!]+)$	foo!bar!bas		(0,11)(4,8)(8,11)
E	^.+!([^!]+!)([^!]+)$	foo!bas			NOMATCH
E	((foo)|(bar))!bas	bas			NOMATCH
E	((foo)|(bar))!bas	bar!bas			(0,7)(0,3)(?,?)(0,3)
E	((foo)|(bar))!bas	foo!bar!bas		(4,11)(4,7)(?,?)(4,7)
E	((foo)|(bar))!bas	foo!bas			(0,7)(0,3)(0,3)
E	((foo)|bar)!bas		bas			NOMATCH
E	((foo)|bar)!bas		bar!bas			(0,7)(0,3)
E	((foo)|bar)!bas		foo!bar!bas		(4,11)(4,7)
E	((foo)|bar)!bas		foo!bas			(0,7)(0,3)(0,3)
E	(foo|(bar))!bas		bas			NOMATCH
E	(foo|(bar))!bas		bar!bas			(0,7)(0,3)(0,3)
E	(foo|(bar))!bas		foo!bar!bas		(4,11)(4,7)(4,7)
E	(foo|(bar))!bas		foo!bas			(0,7)(0,3)
E	(foo|bar)!bas		bas			NOMATCH
E	(foo|bar)!bas		bar!bas			(0,7)(0,3)
E	(foo|bar)!bas		foo!bar!bas		(4,11)(4,7)
E	(foo|bar)!bas		foo!bas			(0,7)(0,3)

E	^(([^!]+!)?([^!]+)|.+!([^!]+!)([^!]+))$	foo!bar!bas	(0,11)(0,11)(?,?)(?,?)(4,8)(8,11)
E	^([^!]+!)?([^!]+)$|^.+!([^!]+!)([^!]+)$	bas		(0,3)(?,?)(0,3)
E	^([^!]+!)?([^!]+)$|^.+!([^!]+!)([^!]+)$	bar!bas		(0,7)(0,4)(4,7)
E	^([^!]+!)?([^!]+)$|^.+!([^!]+!)([^!]+)$	foo!bar!bas	(0,11)(?,?)(?,?)(4,8)(8,11)
E	^([^!]+!)?([^!]+)$|^.+!([^!]+!)([^!]+)$	foo!bas		(0,7)(0,4)(4,7)
E	^(([^!]+!)?([^!]+)|.+!([^!]+!)([^!]+))$	bas		(0,3)(0,3)(?,?)(0,3)
E	^(([^!]+!)?([^!]+)|.+!([^!]+!)([^!]+))$	bar!bas		(0,7)(0,7)(0,4)(4,7)
E	^(([^!]+!)?([^!]+)|.+!([^!]+!)([^!]+))$	foo!bar!bas	(0,11)(0,11)(?,?)(?,?)(4,8)(8,11)
E	^(([^!]+!)?([^!]+)|.+!([^!]+!)([^!]+))$	foo!bas		(0,7)(0,7)(0,4)(4,7)

# shell patterns

S	?.c		axc			NOMATCH
S	?.c		a.c			(0,3)
S	a*.c		ab.c			(0,4)
S	*.c		a.c			(0,3)
S	?*.c		a.c			(0,3)
S	test?		testy			(0,5)
S	test*		test			(0,4)
S	tes*t		test			(0,4)
S	*test		test			(0,4)
S	t*s*t		test			(0,4)
S	t*s*t		tesseract		(0,9)
S	t?s?		test			(0,4)
S	?s*t		psyot			(0,5)
S	[a-z]s*t	asset			(0,5)
S	s[!gh]t		set			(0,3)
S	t[a-ce]st	test			(0,4)
S	tea[ea-c]up	teacup			(0,6)
S	[a-fh-z]*	jack			(0,4)
S	\i\**		i*hello			(0,7)
S	[a-z\\]		\			(0,1)
S	[a-z\]		\			NOMATCH
S	[a-z\]		[a-z\]			(0,6)
S	[a-z&_]		b			(0,1)
S	[\]]		]			(0,1)
S	[\]]		\]			(1,2)
Sv	[\]]		]			(0,1)
S	a[.]b		a.b			(0,3)
S	a[.\]b		a.b			NOMATCH
S	a[.\]b		a[.\]b			(0,6)
S	a[.\\]b		a.b			(0,3)
S	[*]		*			(0,1)
S	[\*]*		*			(0,1)
S	[\*]*		\*\			(1,3)
S	[\\\]\[\*@_]	@			(0,1)
S	[\\\]\[\*@_]	\[*@_]			(0,1)
S	[\\\]\[\*@_\]	\[*@_]			NOMATCH
S	[]\[*@_]	@			(0,1)
S	\i?*		itch			(0,4)
S	\i?*		it			(0,2)
S	?*?*?t		test			(0,4)
S	?*?*?*?*	test			(0,4)
S	*\]*\**\?*\[	]this*is?atest[		(0,15)
S	[a-\\]*		at			(0,2)
S	[a-\]*		at			NOMATCH
S	[a-d\\-/]	c			(0,1)
S	[a-d\-/]	c			(0,1)
S	*t?l*his	bright-land-hip-and-his	(0,23)
S	test		test			(0,4)
S	\		test			NOMATCH
S	tes\		test			NOMATCH
S	t*s*t		texxeract		NOMATCH
S	t?st		tst			NOMATCH
S	test?		test			NOMATCH
S	s[!e]t		set			NOMATCH
S	s[^e]t		set			NOMATCH
S	[a-]*		atest			(0,5)
S	[a-fh-z]	jack			(0,1)
S	?*?*?t*?	test			NOMATCH
S	*?????		test			NOMATCH
S	*\		test			NOMATCH
S	*?*?t?		test			NOMATCH
S	t?		t			NOMATCH
S	??*t		step			NOMATCH
S	\[*		[abc			(0,4)
S	[*		[abc			NOMATCH

# ignore case

Si	[a-z][0-9]		AZ90az90		(1,3)
Si	aBrAcAdAbRa		AbRaCaDaBrA		(0,11)
Si	aBrAc			1ABRA2abra3abrac	(11,16)
Si	[a-z][0-9]		AZ90az90		(1,3)
Si	[[:upper:]][[:lower:]]	aBCde			(0,2)

Ki	b*(a)B*(A)		AaBaAbAa		(2,8)(3,5)(6,8)
Ki	*(Ab|cD)		aBcD			(0,4)(0,4)
Ki	+([[=Z=]])		azZa			(1,3)(1,3)

# anchored shell patterns

Sa	test		test			(0,4)
Sa	test		ttest			NOMATCH
Sa	test		testt			NOMATCH
Sa	test		ttestt			NOMATCH
Sl	test		test			(0,4)
Sl	test		ttest			NOMATCH
Sl	test		testt			(0,4)
Sl	test		ttestt			NOMATCH
Sr	test		test			(0,4)
Sr	test		ttest			(1,5)
Sr	test		testt			NOMATCH
Sr	test		ttestt			NOMATCH

# shell anomolies

S	[b-n-y]		acz			(1,2)
S	[b-n-y]		aoz			(1,2)
S	[y-b]		zya			(1,2)
S	[y-b]		zba			(1,2)
S	[y-b]		zxa			NOMATCH
S	[a-e]*[!t	eel			NOMATCH
S	[a-e]*[!t	eel[!t			NOMATCH
S	[\		test			NOMATCH
S	[\		[\			(0,2)
S	\t[est		test			NOMATCH
S	?*[]		hello			NOMATCH
S	[]		]			NOMATCH
S	[]		[]			(0,2)
S	[		[			(0,1)
S	[\[-\]		[			NOMATCH
Sv	[\[-\]		[			NOMATCH
S	[\[-\]]		[			(0,1)
S	[\[-\]]		[]			(0,1)
Sv	[\[-\]]		[			(0,1)
S	[\[-\]]		]			(0,1)
Sv	[\[-\]]		]			(0,1)
S	[a		atest			NOMATCH
S	[a		[a			(0,2)
S	[a-		atest			NOMATCH
S	[a-z		atest			NOMATCH
S	[a-fh-z		jack			NOMATCH
S	[a-fh-z\]	jack			NOMATCH
S	[a-fh-z\\]	jack			(0,1)
S	[a-fh-z\]*	jack\			NOMATCH
S	[a-fh-z\\]*	jack\			(0,5)
Sv	[a-fh-z\]	jack			NOMATCH
S	[a-e\		atest			NOMATCH
S	[a-\		atest			NOMATCH
S	[a-bd-\		atest			NOMATCH
S	(\		test			NOMATCH
S	(\		(\			(0,2)
S	\t(est		test			NOMATCH
S	(		(			(0,1)
S	(\(-\)		(			NOMATCH
S	(a		atest			NOMATCH
S	(a		(a			(0,2)
S	(a-		atest			NOMATCH
S	(a-z		atest			NOMATCH
S	(a-fh-z		jack			NOMATCH
S	(a-fh-z\)	jack			NOMATCH
S	(a-e\		atest			NOMATCH
S	(a-\		atest			NOMATCH
S	(a-bd-\		atest			NOMATCH

# strgrpmatch is REG_AUGMENTED by default

{S	?*()		hello			NOMATCH
S	()		)			NOMATCH
S	()		()			(0,2)
}
K	?*()		hello			(0,1)(1,1)
K	()		)			(0,0)(0,0)
K	()		()			(0,0)(0,0)

# shell character classes

S	[a-z][0-9]		AZ90az90	(5,7)
Si	[a-z][0-9]		AZ90az90	(1,3)
S	[\z]			z\		(0,1)
S	[!a-z]			a@Z`{z		(1,2)
S	[$[:xdigit:].,]		gfa$1,234.AFG	(1,2)
S	[---]			a-b		(1,2)
S	[!-]			--a		(2,3)
S	[a-]			--a		(0,1)
S	[a-m-][a-m-]		--amoma--	(0,2)
S	[b-m-y][b-m-y]		-abcmxyz-	(2,4)
S	[c-m-b][c-m-b]		-abcmn-		(2,4)

S	[z-a]			bcaz		(2,3)
S	[!]			a		NOMATCH
S	[!]			!		NOMATCH
S	[!abc			[!abc		(0,5)
S	[A-Z-a]			cba		(2,3)
S	[a-m-z]			nz		(0,1)

# augmented shell patterns

K	a@()b			ab		(0,2)(1,1)
K	*(abc)			abcabc		(0,6)(0,6)
K	!(a)			a		(0,0)(0,0)
K	+([abc])&*([bcd])	abcd		(1,3)(1,3)(1,3)
K	*([abc])&+([bcd])	abcd		(1,3)(1,3)(1,3)
K	!(a*)&+(?)		abb		(1,3)(1,3)(1,3)
K	xy!(*xy*)xy		xy.xx.yy.xy.xy	(0,11)(2,9)
K	a\!			aa!a		(1,3)
K	!(x)*(a)		NULL		(0,0)(0,0)(0,0)
K	!(*(???|?????))		aa		(0,2)(0,2)
K	!(*(???|?????))		aaa		(0,2)(0,2)
K	!(*(???|?????))		aaaa		(0,4)(0,4)
K	!(*(???|?????))		aaaaa		(0,4)(0,4)
K	!(*(???|?????))		aaaaaa		(0,4)(0,4)
K	!(*(???|?????))		aaaaaaa		(0,7)(0,7)
K	!(*(???|?????))		aaaaaaaa	(0,7)(0,7)
K	!(*(???|?????))		aaaaaaaaa	(0,7)(0,7)
K	!(*(???)*(?????))	aa		(0,2)(0,2)
K	!(*(???)*(?????))	aaa		(0,2)(0,2)
K	!(*(???)*(?????))	aaaa		(0,4)(0,4)
K	!(*(???)*(?????))	aaaaa		(0,4)(0,4)
K	!(*(???)*(?????))	aaaaaa		(0,4)(0,4)
K	!(*(???)*(?????))	aaaaaaa		(0,7)(0,7)
K	!(*(???)*(?????))	aaaaaaaa	(0,7)(0,7)
K	!(*(???)*(?????))	aaaaaaaaa	(0,7)(0,7)
K	{1,3}(*(a))		aaa		(0,3)(0,3)(0,3)
K	{2,3}(*(a))		aaa		(0,3)(0,3)(3,3)
K	{1,}(*(a))		aaa		(0,3)(0,3)(0,3)
K	{0,3}(*(a))		aaa		(0,3)(0,3)(0,3)
K	{,3}(*(a))		aaa		(0,3)(0,3)(0,3)
K	{0,}(*(a))		aaa		(0,3)(0,3)(0,3)
K	{,}(*(a))		aaa		(0,3)(0,3)(0,3)
K	{2}(*(a))		aaa		(0,3)(0,3)(3,3)
K	{1}(x)			.x.xx.xxx.xxxx.	(1,2)(1,2)
K	{2}(x)			.x.xx.xxx.xxxx.	(3,5)(3,5)
K	{3,5}(x)		.x.xx.xxx.xxxx.	(6,9)(6,9)
K	\[*			[abc		(0,4)
K	[*			[abc		NOMATCH

# augmented shell character classes

K	[a-z][0-9]		AZ90az90	(5,7)
Ki	[a-z][0-9]		AZ90az90	(1,3)
K	[\z]*			z\		(0,2)
K	+([!a-z])		a@Z`{z		(1,5)(1,5)
K	{1,}([$[:xdigit:].,])	gfa$1,234.AFG	(1,12)(1,12)
K	[---]			a-b		(1,2)
K	[!-]			--a		(2,3)
K	*([a-])			--a		(0,3)(0,3)
K	*([a-m-])		--amoma--	(0,4)(0,4)
K	+([b-m-y])		-abcmxyz-	(2,7)(2,7)
K	+([c-m-b])		-abcmn-		(2,5)(2,5)

# augmented shell patterns with backrefs

K	@([a-z])*\1		aa		(0,2)(0,1)
K	@([a-z])*\1		axa		(0,3)(0,1)
K	@([a-z])*\1		xax		(0,3)(0,1)
K	@([a-z])*\1		aaa		(0,3)(0,1)
K	@([a-z])*\\1		a\1		(0,3)(0,1)
K	@([a-z])*\\1		ab\1		(0,4)(0,1)
K	@([a-z])*\\1		a\\1		(0,4)(0,1)
K	@([a-z])*\\1		a\\\1		(0,5)(0,1)
K	a*\1			abc1		(0,4)
K	a*\\1			abc\1		(0,5)
K	+(a|@(b|c)|d)*\2	ab2		NOMATCH
K	+(a|@(b|c)|d)*\2	aaab2		NOMATCH
K	+(a|@(b|c)|d)*\2	cczc		(0,4)(0,2)(1,2)
K	+(a|@(b|c)|d)*\2	abczc		(0,5)(0,3)(2,3)
K	+(a|@(b|c)|d)*\1	cczcc		(0,5)(0,2)(1,2)
K	@(?)\1\1@(?)\2\2\2	xxxxxxx		(0,7)(0,1)(3,4)
K	+(?)\1\1+(?)\2\2\2	xxxxxxx		(0,7)(0,1)(3,4)

# augmented shell subexpression patterns

K	!(*.o)			foo.c		(0,5)(0,5)
K	!(*.o)			foo.o		(0,4)(0,4)
K	*+(x)*			abcxxxxdef	(0,10)(6,7)
K	+(?)*\1			barxbar		(0,7)(0,3)
K	+(?)\1			barbar		(0,6)(0,3)
K	(+(?))\1		barbar		(0,6)(0,3)(0,3)
K	+(?)\1			barxbar		NOMATCH
K	+(a)*(b|c)+(a)		aabca		(0,5)(0,2)(2,4)(4,5)
K	+(a)*+(a)		aabca		(0,5)(0,2)(4,5)
K	+(a|@(b|c)|d)*\1	cczc		(0,4)(0,1)(0,1)
K	+(a|@(b|c)|d)*\1	aaab2		(0,3)(0,1)
K	+(a|@(b|c)|d)*\2	aaab2b		(0,6)(0,4)(3,4)
K	+(a|@(b|c)|d)*\2	abba		(0,3)(0,2)(1,2)
K	+(a|@(b|c)|d)*\1	aba		(0,3)(0,1)
K	+(a|@(b|c)|d)*\2	aba		NOMATCH
K	+(a|@(b|c)|d)*\2	abczb		(0,5)(0,2)(1,2)
K	+(a|@(b|c)|d)*\2	bba2		(0,2)(0,1)(0,1)
K	+(a|@(b|c)|d)*\2	bca2		NOMATCH
K	+(a|@(b|c)|d)*\2	cca2		(0,2)(0,1)(0,1)
K	+(a|@(b|c)|d)*\2	cczcc		(0,5)(0,2)(1,2)
K	?			/abc		(0,1)
K	@(*/bar|*/foo)		/home/ksh/foo//bar/abcabcabc	(0,18)(0,18)
K	@([a-z])*\1		1a1		NOMATCH
K	@([a-z])*\1		a1a		(0,3)(0,1)
K	@([a-z])*\1		xa\1		NOMATCH
K	@([a-z])*\\1		a\\\a		NOMATCH
K	@([a-z])*\\1		aa		NOMATCH
